Label;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13;x14;x15;x16;x17;x18;x19;x20;x21;x22;x23;x24;x25;x26;x27;x28;x29;x30;x31;x32;x33;x34;x35;x36;x37;x38;x39;x40;x41;x42;x43;x44;x45;x46;x47;x48;x49;x50;x51;x52;x53;x54;x55;x56;x57
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.69;0;0;0;0;0;0;0;0;0;0;0;4.34;0;0;0;0;1.44;1.44;0;1.44;0;0;0;0;0;0.222;0;0;0;5.357;28;150
0;2.77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.38;0;0;0;1.38;0;0;0;0;0;0;0.213;0;0;1.75;6;49
1;0.14;0.14;0.29;0;0;0;0;0;1.03;0.29;0.14;0.59;0;0;0;0;0;0.14;2.36;0.14;0.88;0;0;0.44;0;0;0;0;0;0;0;0;0;0;0;0;0;0.29;0;0;0;0;0;0;0;0;0;0;0;0.205;0;0.153;0.128;0.102;2.686;73;368
0;0.07;0;0.22;0;0.03;0.07;0;0;0.03;0.22;0;0.71;0.03;0;0;0.03;0;0;0.9;0;0.56;0;0;0;1.58;0.26;0;0.11;0.11;0.11;0.18;0;0.03;0;0.22;0.07;0.18;0;0;0.03;0;0;0;0;0;0;0;0.03;0.028;0.078;0;0.028;0.016;0;1.765;20;1356
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;8
1;0;0;0;0;1.91;0;0.31;0.31;0;0.31;0.63;1.59;0.63;0;0.63;0;0.63;2.23;3.19;0;1.59;0;0.31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.63;0;0;0;0;0;0;0;0;0;0.092;0;0.323;0;0;2.15;18;86
0;0;0.8;0;0;0.6;0;0;0.2;0;0.2;0;0;0;0;0;1.8;0;2.2;1.8;0;2.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0.2;0.2;0;0;0;0;0;0.06;0;0;2.55;43;227
1;0.46;0.3;0.46;0;0.05;0.12;0.05;0.28;0.43;0.74;0.25;0.97;0.56;1.23;0;0.25;0.43;0.02;3.22;0;1.46;0;1.05;0.36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02;0;0;0;0;0.065;0;0.325;0.756;0.153;5.891;193;3040
1;0.31;0;0;0;0;0;0;0;0;0;0.31;0.31;0.31;0;0;0;0.31;0;2.79;0;1.55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.31;0;0;0;0;0;0;0;0;0;0;0;0;0.114;0;0;0.057;0;0;2.972;18;110
1;0.06;0;0.71;0;1.23;0.19;0.19;0.12;0.64;0.25;0.38;0.45;0.12;0;1.75;0.06;0.06;1.03;1.36;0.32;0.51;0;1.16;0.06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.06;0;0;0.12;0;0.06;0.06;0;0;0.01;0.143;0;0.276;0.184;0.01;9.821;485;2259
0;0;0;0;0;1.96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.96;0;0;0;0;0;0.666;0;0;0;0;2.111;7;19
1;0;0;0;0;0;0;0;0;0;0;0;0;0;1.56;0;0;0;0;1.56;6.25;1.56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.56;0;0;0;0;0;0;0;0;0;0;0;0;0;0.754;0.188;0;5.551;119;161
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.733;0;0;2.666;11;24
0;0;0.23;0;0;0.47;0;0.23;0;0;0;0.23;0;0;0;0;0;0;0.23;0.23;0;0.23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.23;0;0;0;0;0;0;0.23;0;0;0;0.298;0;0.149;0;0;1.533;18;184
0;0;0;0.59;0.11;0;0;0;0;0.11;0.23;0;0.11;0;0;0;0.11;0;0;0.95;0;0.47;0;0;0;0.23;0;0.71;0;0;0;0;0;0;0.11;0;0.47;0;0;0;0;0;0;0;0;0;0;0;0;0.227;0.322;0.113;0.056;0.075;0;2.546;38;601
1;0;0;0.14;0;0.14;0;0.14;0;0.57;0.14;0.14;0;0;0;0;0.86;0;0.57;0.57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.06;0;0.826;0.745;0;5.456;72;1315
1;0;0;0;0;0.45;0.45;0.45;0;0;0;0;0.45;0;0;0;0;0;0;0.9;0;0.45;9.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.203;0;1.084;8.517;72;477
1;0;0;0.14;0;0.28;0;0.14;0;0;0;0.14;0.14;0;0;0;0;0;0;2.86;2.14;2;3.86;0.14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.14;0;0;0;0;0.048;0;0.241;0.072;0.435;6.238;37;1229
0;0;0;0;0;0;0;0;0;0;0;0.61;0.61;0;0;0;0;0;0;0;0;0;0;0;0;1.85;0;0;0;0;0.61;0;0;0.61;0;0;0.61;0.61;0;0;0;0;0.61;0;0;0;0;0;0;0.179;0;0;0;0;0;1.24;6;67
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.5;4;5
1;0;0;0.25;0;0.38;0.25;0.25;0;0;0;0.12;0.12;0.12;0;0;0;0;0;1.16;0;0.77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.022;0.044;0;0.663;0;0;1.243;11;184
1;0;0;0;0;0.91;0;0.91;0;0;0.91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.134;0;0.672;0.269;0;4.35;31;87
1;0;0;0.16;0;0.33;0;0.16;0;0.5;0;0.16;0;0;0;0;0.5;0;1.5;0.66;0;0;0;0;0;0.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.088;0;0.884;0.752;0.022;5.328;47;1087
0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.888;29;53
0;0;0;0;0;0;0;0;0;0;0.58;0;0;0;0;0;0;0;0;2.9;0;0;0;0;0;1.74;1.16;1.16;1.74;0.58;1.16;0.58;0.58;0;0.58;0.58;1.16;0.58;0;0.58;0.58;0;0;0.58;0;0.58;0;0;0;0;0.379;0;0;0;0;2.222;12;140
0;0.4;0;0.81;0;0;0.4;0;0;0;0;0;0.81;0;0;0;0;0;0;1.63;0;0.4;0;0;0;0;0;0.81;0;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0.4;0;0.4;0;0;0;0;0.071;0;0;0;0;1.156;3;59
1;0;0;0;0;0.52;0;0.26;0.52;0;0.26;0.26;0.52;0;0;0;0.26;1.56;0.26;1.82;2.08;0.26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.073;0;0.813;0.036;0.147;2.145;38;339
1;0;0.17;0;0;0;0;0.17;0.52;0;0.17;0.35;0.52;0;0;0;0;0.17;0.7;0.87;0;0.7;1.92;0.35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.029;0.147;0.029;0.117;0.058;0.235;3.521;39;419
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.391;0;0;1.333;4;20
0;0;0;0;0;0;0;0;0;0;0;0;1.24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.6;7;64
0;0.37;0.18;0.18;0;0.37;0;0;0.18;0;0.18;0;0.55;0;0;0;0;0;0;0.92;0;0;0;0;0;0;0;0.55;0;0;0;0;0;0;0;0;0;0.55;0;0.18;0;0;0.37;0;0;0.74;1.48;0;0;0.116;0.29;0.029;0.029;0.029;0;3.455;24;387
1;0.07;0.02;0.15;0;0.25;0.2;0;0.02;0.15;0;0;0.25;0.25;0.07;0;0.05;0.22;0;0.05;0;0.02;0;0.37;0.02;0;0;0;0;0.02;0;0;0;0;0;0;0.05;0.3;0.02;0;0.02;0;0;0.02;0;0.02;0;0;0;0.011;0.022;0;0;0.022;0;1.423;20;965
0;0;0;0.36;0;0;0.73;0;0;0;0;0;1.46;0.36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.36;0;0;0;0;0;0;0;0;0;0;0;0;0.049;0;0.049;0;0;1.919;54;167
0;0;0.68;0.34;0;0;0;0;0.34;0;0;0.34;0;0;0;0;1.72;0;0;1.03;0;2.06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.34;0;0;0;0;0.34;0;0;0;0;0.046;0;0;0;0;3.344;107;194
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.09;9.09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.09;0;0;0;0;0;0;0;0;0;0;0;0;1.25;2;5
0;0;0;0;0;0;0;0;0;0;0;0;0.86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.592;8;43
0;0;0;0;0;0;0;0;1.17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.7;1.17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.196;0;0;0;0;1.294;3;22
1;0.51;0.17;0.51;0;1.7;0.34;0;0;0.85;0.17;0;0.68;0.17;0.34;0;0.17;0.17;0;2.9;0;2.05;0;0.68;1.36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.387;1.961;0.025;11;183;660
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.02;0;1.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.02;0;0;0;1.02;0;0;0;0;0;0;0;0;0;0;0.142;0;1.857;10;65
0;0;0;0;0;0;0;0;0;0.48;0;0.48;0;0;0;0;0.48;0.48;0;1.44;0;2.88;0;0.96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.48;0;0;0;0;0.076;0;0.305;0.381;0;1.884;9;98
0;0;0;0;0;0;0;0;0;0;18.18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;39;40
0;0;0;0;0;0;0.3;0;0;0;0;0.3;2.42;0;0;0;0.3;0;0.9;3.63;0;0.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.087;0;0;2.74;64;148
1;0;0;0;0;1.03;0;1.03;0;0;0;0;2.06;0;0;0;2.06;0;0;3.09;0;1.03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;60;84
1;0;1.14;1.14;0;0;0;0;0;1.14;0;0;1.14;0;0;0;0;0;0;0;0;3.44;0;0;1.14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.197;0;3.681;35;81
1;0;0;0.56;0;1.12;0;0;0;0;0;0;0;0.93;0;0.18;0;0.37;0.37;3.18;0;0.93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.189;0;0.441;0;0;1.372;4;70
1;0;0;0;0;0;0;0;0;0;3.77;0;0;0;0;0;0;0;0;1.88;0;0;0;0;1.88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.264;0;0;0;0;0;4.333;13;78
1;0.18;0;0.54;0;1.09;0.18;0.54;0;0.54;0.54;0;0.18;0;0;0.18;0.36;0.18;0.54;1.82;0;2;0;0;0.18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.18;0;0;0;0;0;0;0;0.166;0;0.249;0.305;0;3.921;59;447
0;0;1.08;0;0;0;0;0;0;0;1.08;0;3.26;0;0;0;0;0;0;5.43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.08;0;0;0;0;0;0;0.169;0;0;2.052;21;39
1;0;0.26;0;0;0.26;0;0;0;0;1.88;0;0;0;0;0;0;0;0;0.26;0;0.26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.407;0.067;0;0.033;0;0;5.009;55;506
0;0.06;0;0.32;0;0;0;0;0;0;0.06;0;0.06;0.06;0;0;0;0;0.06;2.79;0;1.1;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.06;0;0;0.06;0.19;0;0;0.317;0.035;0;0.093;0;0;1.11;9;261
1;0;0;0.53;0;0.53;0;0;0.53;0;0;0;1.06;0;0;2.12;0;0.53;0.53;2.65;0;2.65;0;1.59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.53;0.53;0;0;0;0;0;0;0;0;0;0.186;0;0.093;0.466;0;5.038;60;131
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;6
1;0;0.46;0.46;0;1.38;0;0;1.85;0;0.92;0.46;0;0;0;0;0.92;0;0;0.92;0.46;1.38;0;0;0.46;0;0;0;0;0;0;0;0;0;0;0;0;1.38;0;0;0.46;0;0;0;0;0;0;0;0;0;0.072;0;0.795;0.217;0;4.869;66;224
1;0.44;0;0.88;0;0.44;1.32;0;0;0;0;0;0;0;0;0;0;0;0.44;1.76;0;2.2;0;2.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.222;0;0;0.444;0.37;0;2.413;16;140
0;0.18;0.06;0.24;0;0.18;0;0;0.18;0;0.12;0;0.6;0;0;0;0.24;0.12;0;0.78;0;0.72;0;0.06;0.42;1.93;0.66;0;0.18;0;0.12;0.3;0;0;0;0.42;0;0.18;0;0.24;0;0;0.12;0;0;0.18;0;0;0.12;0;0.196;0;0.044;0.026;0;1.873;29;843
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.35;0;0;0;1.17;1.17;2.35;0;0;0;0;4.7;0;4.7;0;0;0;0;1.17;0;0;0;0;0;2.35;0;0;0;0.185;0.743;0;0;0;0;4.476;14;94
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.13;0;2.27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.13;0;0;0;0;0;0.194;0;0;0;1.909;5;42
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.03;0;0;0;0;3.03;0;0;3.03;3.03;0;0;0;0;0;0;0;0;1.47;5;25
0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.888;29;53
0;0;4.16;0;0;0;0;0;0;0;0;0;4.16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.16;0;0;0;0;0;0;0.709;0;0;2.09;6;23
0;0;0;0;0;0;0;0;0;0;0;0;1.63;0;0;0;0;0;0;6.55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.63;0;0;0;0;0;0;0;0;0;1.333;4;20
0;0;0;0;0;0;0;0;0;0;0;0;1.06;0;0;0;0;0;0;1.06;0;0;0;0;0;3.19;1.06;0;0;0;0;0;0;0;0;0;0;1.06;0;2.12;0;0;0;0;0;0;0;0;0;0;0.168;0;0.168;0;0;1.75;7;63
0;0;0;0;0;1.15;0.28;0;0;0;0;0;0;0;0;0.28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.072;0;0;0;0;1.517;8;88
0;0;0;0;0;0;0.37;0;0;0;0;0;0.75;0.37;0;0;0;0.37;0;0;0;0;0;0;0;2.26;0;0;0;0;0;0;0;0;0;0;0;0.37;0;0;0;0;0;0;0;0;0;0;0;0;0.387;0;0;0.331;0;2.287;14;167
1;0;0.1;0.31;0.1;1.05;0.42;0;0.31;0;0.1;0.1;0.84;0;0.1;0;2;0.84;0.21;1.69;0.31;0.31;0;0.52;0.1;0;0;0;0;0;0;0;0;0;0;0;0.31;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0.054;0;0.384;0.182;0.201;8.851;299;1726
0;0;14.28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.8;5;9
1;0;4.76;0;0;0;0;0;0;0;1.19;0;0;0;0;0;0;0;2.38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.225;38;162
1;0;0;0.34;0;0;0;0.34;0;0;0.34;0;0.34;0;0;0;0.68;0.34;0.34;0.68;0.34;0.34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.34;0;0;0;0;0;0;0.34;0;0;0.393;0;0.225;0.056;0;2.257;17;158
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.32;0;0;0;0;0;0;0.763;0;2.181;6;24
1;0.09;0.49;0.59;0;0.29;0.19;0;0;0.09;0.39;0;1.59;0.19;0;0;0;0.09;0;3.67;0.09;1.09;0;0;0.09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.09;0;0;0;0.766;0.037;0;5.836;1.31;0;5.792;54;753
1;0;0;0;0;0;0;0;3.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.04;0;0;0;0;0.198;0;0.198;0.198;0;3.857;25;81
0;0;0;0;0;0;0.05;0;0.34;0;0;0.11;0.81;0.05;0.11;0;0;0.75;0;0;0;0;0;0.05;0;1.16;0;0;0;0;0;0;0;0.05;0;0;0.23;0.05;0;0;0;0;0;0;0;0;0;0;0;0.283;0.107;0;0;0.053;0;1.864;32;910
1;0;0;0;0;0;0.65;0;1.3;0.65;0.65;0;0;0;0;0;0.65;2.61;0.65;1.3;3.26;1.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.65;0;0;0;0;0;0;0;0;0;0;0;1.154;0.524;0;3.89;78;249
1;0;0.35;0.71;0;0.35;0;0.17;0;0;0.53;0.17;0;0.17;0;0.35;0.17;0;1.07;0.17;0.17;0.71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.027;0;0.167;0.027;0.055;7.527;149;956
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.75;4;14
0;0;0;0.4;0;0;0;0;0;0;0.8;0;0;0;0;0;0;0;0;0.4;0;0.4;0;0;0;1.2;0.8;0;0;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.099;0;0.049;0;0;2.288;9;135
1;0.1;0;0.1;0;0.4;0.1;0.1;0;0.2;0.2;0.4;0.5;0;0.6;0;0.91;0.2;0;1.72;4.26;1.72;0;0.4;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.096;0;0.336;0.16;0;6.758;494;1426
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.68;0;0;1;1;11
1;0;0;0;0;0.76;0.38;0.38;0.38;0;0;0.38;0;0;0;0;0.38;0;0;3.46;0;1.92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.38;0;0;0;0;0;0;0.117;0;0;2.061;12;101
0;0;0;0;0;0;0;0;0;0;0.8;0;1.07;0;0;0;0.26;0;0;1.07;0;1.88;0;0;0;2.15;1.61;1.07;0.26;0.26;0.26;0.26;0.26;0;0.26;0.26;0.26;0.53;0;0;0.26;0;0;0.53;0.53;0.53;0;0;0;0.174;0.437;0;0.043;0;0;2.879;19;262
0;0;0;0;0;0;0;0;0;0;0;0;1.6;0;0;0;0;0;0;0;0;0;0;0;0;9.62;0;0.53;0;0;0;0;0;2.13;0;0;0;1.06;0;1.6;0;0;0.53;1.06;0;1.06;0;0;0;0.425;0;0.17;0;0;0;2.567;15;172
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.33;0;0;3.33;0;0;0;0;0;0;1;1;6
0;0;0;0;0;0.58;0;0;0;0;0;0;0;0;0;0;0;0;0;0.87;0;0.29;0;0;0;0.29;0.29;0.29;0.58;0;0;0;0;0;0.29;0.58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.22;0;0;2.038;0;13.562;351;434
1;0;0.06;0.2;0;0.61;0.13;0;0;0.75;0;0.27;0.75;0.27;0;0;0;0.2;0.13;1.16;0;1.23;0;0.06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.06;0;0.06;0;0;0;0.034;0.057;0;0.472;0.092;0.023;2.086;104;703
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.55;0;0;0;0;0;0;0;0;0;0;0;0;1.375;4;11
